X1,X2,X3,X4,X5,X6,Y,,,,,,,,,,,,
18.68,26.34,15,35,8.23,0,0,,,,,,,,,,,,
16.5,11.49,0,30,3.66,0,0,,,,,,,,,,,,
18.84,14.36,25,20,30.5,0,1,,,,,,,,,,,,
18.84,57.46,20,20,30.5,0,1,,,,,,,,,,,,
28.44,29.42,35,35,100,0,1,,,,,,,,,,,,
28.44,39.23,38,35,100,0,1,,,,,,,,,,,,
20.6,16.28,26.5,30,40,0,0,,,,,,,,,,,,
14.8,0,17,20,50,0,0,,,,,,,,,,,,
14,11.97,26,30,88,0,0,,,,,,,,,,,,
25,120,45,53,120,0,1,,,,,,,,,,,,
26,150.05,45,50,200,0,1,,,,,,,,,,,,
18.5,25,0,30,6,0,0,,,,,,,,,,,,
18.5,12,0,30,6,0,0,,,,,,,,,,,,
22.4,10,35,30,10,0,1,,,,,,,,,,,,
21.4,10,30.34,30,20,0,1,,,,,,,,,,,,
22,20,36,45,50,0,0,,,,,,,,,,,,
22,0,36,45,50,0,0,,,,,,,,,,,,
12,0,30,35,4,0,1,,,,,,,,,,,,
12,0,30,45,8,0,0,,,,,,,,,,,,
12,0,30,35,4,0,1,,,,,,,,,,,,
12,0,30,45,8,0,0,,,,,,,,,,,,
23.47,0,32,37,214,0,0,,,,,,,,,,,,
16,70,20,40,115,0,0,,,,,,,,,,,,
20.41,24.9,13,22,10.67,0.35,1,,,,,,,,,,,,
19.63,11.97,20,22,12.19,0.41,0,,,,,,,,,,,,
21.82,8.62,32,28,12.8,0.49,0,,,,,,,,,,,,
20.41,33.52,11,16,45.72,0.2,0,,,,,,,,,,,,
18.84,15.32,30,25,10.67,0.38,1,,,,,,,,,,,,
18.84,0,20,20,7.62,0.45,0,,,,,,,,,,,,
21.43,0,20,20,61,0.5,0,,,,,,,,,,,,
19.06,11.71,28,35,21,0.11,0,,,,,,,,,,,,
18.84,14.36,25,20,30.5,0.45,0,,,,,,,,,,,,
21.51,6.94,30,31,76.81,0.38,0,,,,,,,,,,,,
14,11.97,26,30,88,0.45,0,,,,,,,,,,,,
18,24,30.15,45,20,0.12,0,,,,,,,,,,,,
23,0,20,20,100,0.3,0,,,,,,,,,,,,
22.4,100,45,45,15,0.25,1,,,,,,,,,,,,
22.4,10,35,45,10,0.4,0,,,,,,,,,,,,
20,20,36,45,50,0.25,0,,,,,,,,,,,,
20,20,36,45,50,0.5,0,,,,,,,,,,,,
20,0,36,45,50,0.25,0,,,,,,,,,,,,
20,0,36,45,50,0.5,0,,,,,,,,,,,,
22,0,40,33,8,0.35,1,,,,,,,,,,,,
24,0,40,33,8,0.3,1,,,,,,,,,,,,
20,0,24.5,20,8,0.35,1,,,,,,,,,,,,
18,5,30,20,8,0.3,1,,,,,,,,,,,,
26.49,150,33,45,73,0.15,1,,,,,,,,,,,,
26.7,150,33,50,130,0.25,1,,,,,,,,,,,,
26.89,150,33,52,120,0.25,1,,,,,,,,,,,,
26.57,300,38.7,45.3,80,0.15,0,,,,,,,,,,,,
26.78,300,38.7,54,155,0.25,0,,,,,,,,,,,,
26.81,200,35,58,138,0.25,1,,,,,,,,,,,,
